title,author,newspaper,language,content,published_year,issue_number
San Antonio church holds 21st annual fiesta,Deepa Bharath,Anaheim Bulletin,english,"Angelo Lopez has seen 20 fiestas. He   s heard kids scream on roller coasters, he's smelled those charred burgers and plump hotdogs. He   s seen colorful canopies, faces painted, mouths chatter, faces smile     Lopez has seen the Hills community come together as one, big, happy family at the San Antonio Catholic Church every year since 1978.    This is probably the largest function in the Canyon,    said Lopez about the popular Fiesta Time organized by the church in third week of September every year since it was formed. In fact, it was the fiesta that funded the church building which was dedicated in 1981. Until then, the parish got together at the El Rancho Middle School auditorium. The church turned 21 on Wednesday. Lopez still volunteers for the fiesta. Sitting inside a supply truck, giving instructions and chatting with his friend Pete Witte, they both recalled the beginnings.     You know, Angelo was the chairman for the very first fiesta ,    Witte said.   ing in with a laugh.    There was no building here, just weeds. And our major task w as to pull out the weeds. I swear, some of those weeds were as tall as "" They then cleared the ground and put sawdust on it.     Angelo, remember our first one on the"" asked Witte. Angelo nodded, smiling.    We've come a long way from there, as you can see,    he said. Today, the fiesta is a huge affair with hundreds of people not only from Anaheim Hills but also from neighboring areas such as Yorba Linda and Placentia. What started as an informal bake sale with a few game stands, now' has close to 35 booths including rides, games, a pastry booth, a beer garden and even a sports bar. There are no outside vendors. Every booth is m an    aged by a volunteer. The event has tripled in term s of attendance, said the Rev. Seam us Glynn. And th a t   s because the number of families that attend church has increased from 600 to 3,000 through the years, he said. This year, added attractions were balloon hats, a clown and a speedball stand for the sports jocks, said Jesse Guerrero, event chairman. The other popular events were bingo, the garage sale, crafts for kids and the auction. The event is also an opportunity for teen-agers to get together outside school,bois of Yorba Linda. Charlebois along with her friend Rebecca Fortezzo, who lives in Anaheim Hills has enjoyed the fiesta as long she remembers.     I used to enjoy throwing darts and the goldfish g am e,   ""Now, I just enjoy the people. I like to hang out with my friends. It   s the only event in the year that we get to do that. I wish there were more of these.    The fiesta also appeals to firsttimers. Jewell Bonilla moved from El Centro to the Hills recently and she said it   s a great opportunity for her to get to know other people in the community.    This is a small town,    she said,     but there    s a lot to do.    Ultimately, for Angelo Lopez and the hundreds of people who enjoyed their weekend at the carnival, that is exactly what it boils down to.     It   s a cohesive method of bringing the community together,    said Lopez.     People see each other at church but m ay not even talk to each other then. But here, they   re making tacos or hotdogs together. This is our home, our family.    All PAC members were invited to vote for the candidates they believed deserved the PAC   s endorsement. Though member businesrted    by businesses that held more than one membership and turned in several ballots.     (The multiple ballots) skewed the results,    he said. Ultimately, the 13-member PAC board agreed on the endorsements. Nine of the 10 or and council candidates turned in questionnaires giving biographical information and explaining their positions on a range of issues including taxes, development in Anaheim and the role of city government. Those nine candidates also attended a chamber mixer and candidate forum in August to speak to the members. Council candidate Sean Leonard did not attend. Adams said the PAC was     looking for "" He feels Bostwick, Mayor Tom Daly, former councilman Frank Feldhaus, Kring and Zemel are the five strongest candidates. He said he and other PAC board m embers knew the most about those five candidates and sought to pick the best three of those. In future elections, A dam s said he plans to change the endorsement process to allow each business to vote only once.",1999,24-Sep
First Team Real Estate launches a m arketing program dedicated to the sale of luxury properties,Steve Mathi,Anaheim Bulletin,english,"Among Orange County   s largest, most successful residential brokerage firms, First Team Real Estate has launched a new marketing program dedicated to the high-end market. Named    First Estates,    this new division will handle residential properties valued in excess of $700,000, according to Steve Mathis, executive director ""Our goal is to revolutionize the way luxury properties are marketed and sold, thereby becoming Orange County   s premier estate-brokerage firm ,    Mathis said. According to Mathis, the affluent market is growing as baby boomers enter their peak earning years. The number of people in California who reported earning $1 million or more rose 66 percent between 1994 and 1996. In Orange County, the number of homes that sold for $1 million or more increased by 50 percent in 1997, and 28 percent during the first eight months of 1998.    We recognize this trend of a growing high-end market, and we   re answering the call,       Mathis said.    We   re combining the most advanced technology with sophisticated marketing tools that are far superior to anything available in the market today.    "" denotes the uncommon approach the com pany is taking to market uncommon properties. It also pertains to the fact that sales executives, who are members of the First Estates program, have been provided with uncommon, stateof-the-art tools and marketing-support systems unsurpassed in the industry, according to a company representative. First Estates contains two key programs: Offered by no other realty firm , Marketing Mastery is a complete marketing system for sellers that is designed to create demand and maximize the value of the home. Higher Ground is an advanced property-locating and viewing system for buyers. Its state-of-the-art technology and efficient procedures help buyers find the perfect luxury home.    W e   ve had a proven track record with residential real estate over the last two decades, and believe this strategic move better positions us to serve customers at all levels of the market,    Mathis said.    We   re very excited about the innovative strategies and techve the high-end customer in a way they have never been served before.    First Team Real Estate was founded by President Cameron Merage in 1974 with a single office in Huntington Beach, and four sales associates. Today, First Team is the largest residential brokerage firm in Orange County with 16 sales offices and more than 900 sales associates, the representative said. Based in Costa Mesa, First Team has consistently reached $1 billion in sales every year since 1990, and is projected to reach $2.5 billion in 1998, the representative ",1999,24-Sep
Mortgage lender announces    Adopt A School    program to assist l,Steve Mathi,Anaheim Bulletin,english,"American Financial Group of Orange, a local m ortgage lending company, has named Woodsboro Elementary School in Anaheim as the first of their    Adopt A School    program target schools.    Our business is providing homeowners with mort[gages for the purchase or ref"" said Steven Sofka, one of the owners of the company.    The intent of our    Adopt A School    program is to provide support to a local school by donations of financial and or materials assistance to the school through the school   s PTA.    The company will mark a portion of the profits we derive from our business generated in a given community, and donate it to the targeted school in this care, that would be Woodsboro.    Sofka said that by being an active PTA parent and serving on a number of other school committees, he has a firsthand perspective and really appreciates the tremendous value that business affiliations like this can bring to a school.    Frankly, I can   t think of a better way to enrich a com m unity than by assisting the teachers and schools in their efforts to provide a quality education for our kids. Through the years, many local communities have been very supportive of our business and this is our way of thanking them and acknowledging thirst time Furla visited the property, he picked up both a flyer - which did not mention the square footage of the property and a copy of the listing profile as it appeared in the Multiple Listing System (MLS). The MLS showed that the property was approximately 5,500 square feet. The MLS printout included the common warning that the information, while deemed reliable, was not guaranteed. The figures entered into the MLS came from Krasinski's agent who, in turn, had obtained the 5500-square-foot number from Krasinski's daughter. The daughter had told the agent the number came from the architectural plans. (In fact, the plans showed 5,334 square feet.) Moreover, the seller's agent was subsequently provided an appraisal which showed that the house was 5,500 square feet. Furla's agent also provided him with a ""property profile"", a document obtained through a title company showing information compiled from tax assessor records. That document also showed the size of the improved property as 5,500 square feet. Similar to the MLS document, the property profile included a notation stating, 'The accuracy of the above information is deemed reliable but is not guaranteed.    Furla's initial offer was written on June 16, 1993. The next day both he, the seller, and agents conducted verbal negotiations, during which Furla sa""Okay, 5,500 square feet, I'll pay $170 a foot."" He then entered the numbers into a calculator and held up the resultinfigure of $935,000. The seller (Krasinski) accepted this figure, whereupon the counteroffer was modified and signed. During the course of the escrow Furla had reservations, commonly called ""buyer's remorse,"" and wondered if he had paid too much. His agent provided him with MLS material showing other Mount Olympus properties at prices ranging from $180 to $235 per square foot. He subsequently closed escrow and took possession on July 30, 1993. When Furla made his offer he did so using a Fred Sands contract which, among other things, states that ""...Broker makes no representations with respect to the...square footage of the lot or the improvement thereon...and [information materials] provided in the Multiple Listing Service...are approximations only."" The contract goes on to say, (in all capital letters,) that the broker recommends that the buyer hire an appropriate professional to investigate the property, and it (the contract) reminds the buyer that he has a duty under the Civil Code ($2079) to make his own investigations. So, 18 months later, Furla decided to sell the property. In the course of interviewing potential listing agents he was told by one, ""There is no way this house is 5,500 square feet."" That agent then did an informal """"stepping off' of the property, and calculated it was about 4,130 square feet. Naturally, Furla then hired professional appraisers to measure the property. One came up with 4,615 square feet; the other with 4,437. Also, it came out in the trial, that Furla's purchase-lender appraisal (July 9, 1993) showed the property to be 4,311 square feet. Furla had not been informed of that result at the time. He was simply told that the property had appraised for the purchase price. Of course, Furla sued the seller and the seller's agent. He did not sue his own agent. He brought action for damages based on intentional misrepresentation and concealment, negligent misrepresentation and negligence, and for rescission. What would you say? The trial court granted sum m ary judgment for the defendants, but the court of appeals reversed on issues of negligence and negligent m isrepresentation. It also reversed on the m atter of rescission. Needless to say, this is an important case. It raises serious questions about the liability of a real estate agent, not to mention the responsibility of a buyer. Next week, we will consider som e of the im plications and questions to be raised in light of Furla v. Jon Douglas Co. Bob Hunt is a director of the California Association of Realtors and chairman of its Standard Forms Committee. ",1999,24-Sep
Term limit provisions aired by council,Amy Diaz,Anaheim Bulletin,english,"Councilman Bob Zemel is waging battle over Anaheim's sixyear-old term limit law in his campaign for mayor against in cumbent Tom Daly. Zemel charges Daly ""adjusted the law to fit only himself"" and with ""inserting language to allow Daly to serve 14 years."" ""The people of Anaheim should be on equal status with the mayor. He has already served two years more than I'll be allowed or anyone else in Anaheim will be allowed. How elitist is it to say I'll vote for term limits for you but not for me?"" Zemel said. Daly, who was elected to the council in 1988 and re-elected in 1992, denies the charges. ""His statements are not true,"" Daly said. City records show that Daly did not comment on the clause, except to vote to place it on that November's ballot. The minutes of the July 28, 1992, council meeting show that then-Mayor Fred Hunter asked City Attorney Jack White about the clause allowing sitting council members to run for mayor in 1994 and re-election as mayor in 1998     one of five options presented to the council at that meeting. Minutes from a council discussion on July 21, 1998, show Daly saying he thought it was unfair to apply the eight-year limit to sitting council members who would become ineligible to seek re-election if the measure passed. But Daly voted for the measure     including the limit on sitting council members     the following week. The term limit ballot measure was offered in a motion by former councilman William Ehrle. The measure was approved by voter",2000,17-Sep
600 attend event dedicating new downtown center,Amy Diaz,Anaheim Bulletin,english,"More than 600 people attended the grand opening ceremonies of the Downtown Community Center on Saturday. With a trumpet fanfare and a burst of confetti. Mayor Tom Daly cut the ceremonial ribbon with giant scissors handed to him by Disney characters Mickey and Minnie Mouse. Paul Pressler, Disneyland Resort president, commended the city on the new center, calling it ""the second happiest place on earth."" Council members Lou Lopez, Shirley McCracken, Tom Tait and Bob Zemel attended the event along with several former council members and city employees. Rep. Loretta Sanchez, in her home district for the weekend, gave Daly a flag to symbolize the flag flown over Capitol Hill that she would send to the center. ""I hope that the children and the people who use this center- ... will be as proud as I am to say I'm from Anaheim,"" said Sanchez, D-Santa Ana. Sanchez's district includes part of Anaheim. The flag pole, in storage in the gymnasium, was one of the finishing touches, including some carpeting weather straping, left undone before form opening. ",2000,17-Sep
Measure A effort to end fire contract negotiations,Amy Diaz,Anaheim Bulletin,english,"The Anaheim Firefighters Association has qualified a measure for the November ballot that calls for impartial arbitration of labor disputes between the city and the Fire Department. The ballot measure is an effort to end more than two years of negotiations that have failed to produce a new contract. Measure A would amend the section of the City Charter that governs the city's personnel system to prohibit strikes and adopt a method of binding impartial arbitration when good faith negotiations do not result in an agreement. The measure calls for an arbitration board made up of three members     one picked by the city, one picked by the employee organization and one agreed upon by both     to settle differences. In a report released in August, Public Financial Management, Inc. a consulting firm hired by the city, concluded that the potential advantages of arbitration are a possible improvement in empl""by providing a viable avenue for labor to challenge contract disputes"" and finality in the negotiation process. The disadvantages are that arbitration discourages good-faith negotiations, prevents elected officials from making final budget decisions, could cost between $100,000 to $200,000 per arbitration, increase salaries and wages and impacts terms of employment. According to David Hill, city human resources director, the city has made three contract proposals. The Firefighters Association has declined to vote or voted down all three proposals. Hill believes arbitration will not benefit either party. ""I have of faith in collective bargaining. It is not in the long-term interest of either party to have someone impose a contract on them,"" Hill said. Hill also believes that arbitration places negotiations in the hands of people with no accountability to the voters. ""It is in the public interest to have elected officials represent them and to hold the accountable. To have arbitrators spend public funds is not in the public interest,"" he said. But Anaheim Firefighters Association president Richard Chavez said he is willing to risk being unhappy with the results. ""Arbitrators look at what's fair. They look at the municipalit's ability to pay and the job market. To drag out negotiations for over two years and work without a contract is unfair,"" Chavez said. He cites the city's use of arbitration in rights disputes as an example of how the process already works in Anaheim. ""Firefighters are very involved in the community. We wouldn't do anything (such as strike) to jeopardize the community,"" he said. Since striking would endanger the public, Chavez feels arbitration would be the best tool for the association in its negotiations with the city.",2000,17-Sep
"Public benefit fee draws fire, but it's a state mandate",Amy Diaz,Anaheim Bulletin,english,"In an effort to bill themselves as anti-tax, City Council candidates are coming out against the public benefits fee that appears on all electric bills of customers of the city's Public Utilities Department. But by making a big issue out of a little fee, candidates are ignoring an important detail: the fee is part of the state law that restructured the electric industry. Far from being a tax imposed by the City Council, the fee is mandatory. Article eight under Assembly Bill 1890 requires that ""each local publicly owned electric utility shall establish a non by passable, usage-based charge on local distribution service,"" according to section 385 of the California Public Utilities Code. The fee is 2.8S percent of a user's bill. In Anaheim, 60 percent of the money is used on energy efficiency programs, 18 percent pays for assistance lowincome customers, 1 percent funds renewable energy and 21 percent funds research of electric-related technologies. ""The fee is absolutely mandatory,"" said Lon Topaz, intergrated resources manager for the city. ""If the city utility did not collect the fee, it would be in violation of state law."" While no penalty for not following the law is listed in the code, the city would be vulnerable to lawsuits from the state's energy commission or from competing utilities. The city would then have to incur the cost of lengthy court proceedings at the end of which it would be forced to comply with the law. Topaz worked on the drafting of the provision in Sacramento. ",2000,17-Sep
Young old alike to be big users,Amy Diaz,Anaheim Bulletin,english,"Center will seek to provide services to all members of the public. But by its design, the center's biggest users will be senior citizens and children. The old senior center will close and all the senior activities move to the new center. The Boys and Girls Club of Anaheim, YMCA, the Anaheim Boxing Club and many of the city's youth sports programs will use the new gymnasium and fitness facilities. A group of children standing outside the gymnasium snacked on free cookies as the discussed the new building. They came in a bus as a group but would come back if they go the opportunity. All five had their faces painted with rainbows, aliens and other designs and said they were enjoying the grand opening celebrations. ""I've been to the YMCA once or twice,"" said Kimber Espen, 14. ""I would come again if I could get a ride."" She thinks that other youngsters would use the facilities at the new center, like the homework room, if they can get a ride. ""It gives (kids) something to do to stay out of trouble,"" she said. Her brother Matthew Espen, 11, was involved with the YMCA and karate and looks forward to come to activities at the new center. Christa Costa, 13, said she also wanted to be involved. Like Espen, she feels her involvement in the center will depend on how often she can find someone to drive her there. ""I signed up for karate and roller hockey,"" said Jordan Webb, 11. His mom volunteers for the city and often comes to the center. Echoing Kimber's thought's, Webb thinks the center will be good for children. ""If there's no community center, kids just hang around and tag stuff,"" he said. He likes the idea of a homework center with new computers. His younger brother, Jonathan Webb, 9, also is involved in roller hockey. In the assembly room, stragglers from the pancake breakfast discussed the new amenities for the senior center lone Ketterer hadn't seen all the new rooms in the center, but said the building looks great. She is involved in the Dapper Tappers and is excited about the new performing arts room. Evelyn Hickens, Dapper Tapper director, said the rooms ar e beautiful. Chris Jarvi, community services director, expects work to be finished and the center to be fully operational in about three weeks. A representative of state Sen. Rob Hurtt, R-Garden Grove, presented a certificate of recognition. One hundred members of the Loara High School Band played the national anthem. Members of the Anaheim Police Department color guard presented the flags. The Rev. Jimmy Gaston of the State College Church of Christ gave the invocation. Daly called the center a milestone for Anaheim. ""This is the first city gymnasium,"" he said. ""The senior center has the most attractive fireplace in Orange County. Thank you for all your ideas and suggestions as we put this package together. (We should) enjoy this building and keep it active, full of kids, full of seniors."" After the ceremonies, the public toured the building with members of the council and other city officials. Children clustered around the Disney characters. Though some younger children screamed in terror when the characters tried to talk to them, many older youngsters followed the characters throughout the rooms. In a tour of the gymnasium, Daly shot the first ceremonial basket on the court with a group of children. Activities and demonstrations continued throughout the day. In the lobby of the senior center, a senior choral group performed a selection of standards. Dance troupes, from ballet to the Dapper Tappers to line dancing, preformed in the assembly and arts rooms. Families attended a screening of ""Angels in the Outfield"" in the evening. Vendors and city organizations set up booths on a closed-off Philadelphia Street to sell T-shirts, provide safety information and hand out refreshments such as cookies, hot dogs and drinks. According to Janis Heckel, coordinator for the grand-opening events, local businesses and residents donated between $8,000 and $10,000 in cash, services and products for the week-long -festivities. On Youth Day Sunday, 748 people attempted to set the Guinness Book of World Records mark for the world's longest bunny hop dance line, complete with bunny ears. The longest bunny hop line will be a new category if it is accepted. The Police Department filmed the line, which looped around the center, from a department helicopter as proof of its size. Arts and Culture Day 3 to 7 p.m. Activities include demonstrations and displays by the Anaheim Art Association, Anaheim Ballet, Ana Modjeska Players, National Council of Negro Women, National League of American Pen Women, the Searchers Gem and Mineral Society and Summer Art Reach. Sampling of food from local restaurants and live music featured from 5 to 7 p.m. The Anaheim Arts Council will meet at 6 p.m. The city gave out health information and held a Heart Smart food contest to pick the best tasting healthy food from local restaurants. Subway's veggie delight won first place for taste and nutrition. The senior center showcased the activities and services it will provide on Senior Citizens Day on Tuesday. Members of the Memory Melodears, Dapper Tappers, the Intervals and the Bell Choir performed in a talent show. The center hosted an ice cream social, pinochle tournaments in the game room and a ballroom dance in the new assembly room.",2000,17-Sep
Center seen as step in revitalization,Amy Diaz,Anaheim Bulletin,english,"City officials and community representatives called the opening of the Downtown Community Center a big step in the effort to revitalize downtown. ""The community center is a great place for after-school programs for children and to serve the growing senior population. It is a focal point for all ages to come together,"" said Rep Loretta Sanchez, D-Santa Ana. ""We need more of these. I'd like to get one on the west side of town."" A West Anaheim community center also is being pushed by residents in the area. ""This is the culmination of about IS to 20 years of effort. The groups need a place to meet and pull the community together,"" said Christopher Jarvi , city community services director. ""This building is the first step. The YMCA, the Boys & Girls Club and the cultural arts buildings will be smaller as a result of the full support of the downtown complex."" ""This is great for the kids. We've been waiting a long time for this Now, we are able to provide more services in one centralized area,"" said Moses Menchaca, community services supervisor. ""The community turned out today, (the opening) was well supported. The center will be better supported than we ever imagined,"" said Ed Kostiuk, head of the youth programs. Councilwoman Shirley McCracken called the center part of the revitalization of Anaheim. ""Downtown Anaheim has changed. We have a real community that young professionals and young families want to live in. The long-range plan is to have (a community center) in West Anaheim."" ""It will add energy and life and activity to the downtown area,"" Mayor Tom Daly agreed. ""It is so beautiful it will attract residents from throughout Anaheim,. We have accomplished the goal of making a facility that is warm, comfortable and inviting."" ""A newer building has a new atmosphere, a new feeling,"" said Patty Davis, the English as a Second Languague instructor. ""The whole purpose of the community center is to provide a place for citizens to gather and to celebrate,"" Elisa Stipkovitch, community development director. ""This is spectacular. It's so nice to see so many people of all ages happy,"" said Janis Heckel, the grand opening coordinator. The first annual Orange County Senior Games is an event for men and women age 50 and over to promote lifelong health and physical fitness. The event features 14 different sports to be held at several locations throughout the South Orange County area. Competition is open to all active and health-minded seniors. The Games are affiliated with the California State Senior Games Foundation.",2000,17-Sep
"Guinn students get backpacks, supplies",Richard Manfredi,Anaheim Bulletin,english,"The two boys were comparing what was in their backpacks at Guinn Elementary School last Thursday. Their backpacks were filled with school supplies such as folders, writing tools and sheets of paper. ""I've got colored pencils and he didn't,"" said Ivan Anguiango, peering inside his bag. ""These are really cool."" ""Mine's green,"" said Ivan Jaimez. ""I like that color."" And so the two 9-year-olds discussed the state of their backpacks. Except it wasn't the first day of school. Classes had been taking place at this year-round school for several weeks, but this was the first day some students had the necessary equipment to learn. For the third year, Unity Community Church donated about 100 backpacks filled with school supplies to Guinn students whose families could not afford them. Most of the backpacks were handed out last Thursday, but some have been saved for students who are off-track. The main force behind the donations is Aleta Peters, Guinn's vice principal. She pitched the idea to the church membership, and said the congregation's response has been extremely positive ever since. ""Everyone at the church has 44 I can't imagine how a student could be expected to learn without the proper tools. CHUCK LEWIS Principal really backed this, and they're the ones that have made it successful,"" Peters said. So church members go shopping for backpacks and school supplies. Some buy their goods while shopping for their own children's school supplies, while others make special shopping trips. ""I think it gives some of the older members something to do,"" Peters said. At the start of the year, each teacher took an inventory of their students to see which ones didn't come to school with backpacks or the proper supplies. Most of the students without backpacks try to stuff all of their supplies into a folders and carry their books in their arms. ""It's hard to just have a folder, because it's hard to carry everything,"" Jaimez said. ""It's easier to have a backpack."" Guinn Principal Chuck Lewis watched everything transpire. He said he is amazed by the effort that Peters puts into organizing the backpack giveaway. ""It really is her baby,"" he said. ""I can't imagine how a student could be expected to learn without the proper tools."" Meanwhile, Anguiango and Jaimez were still reviewing the contents of their backpacks to find out whose was better, and if they might want to trade with someone else. ""What's this,"" said Anguiango, pulling out a small, white packet of silicate, used to keep backpacks dry in the stores. For students who buy new backpacks every year, this might be an expected find, but for students not used to new backpacks it was puzzling. ""You're not supposed to eat that,"" Jaimez said. ""I don't know why, but you're not."" After the children had gone to the library to write thank-you notes to the members of the church, Peters stood outside reflecting on the day. ""I just wish we could get more people and groups involved,"" she said. ""There are so many more students that need supplies. I'd just like to get the word out to people that their help is needed.""",2000,17-Sep
City honors Sally White with waterwise darden,Amy Diaz,Anaheim Bulletin,english,"The city honored long-time advocate for beautification Sally White by dedicating the waterwise garden at the Amtrak Metro linkstation in her honor. At a ceremony on Sept. 10, White's family and friends joined city dignitaries in praising her many years of community service with organizations such a s the Anaheim Arts Council, the Women's Division of the Anaheim Chamber of Commerce, the Anaheim Memorial Hospital project, the Anaheim Park s and Recreation Commission, the Orange County Harbors Beaches and Parks Commission, Anaheim Beautiful and Releaf Anaheim     organizations that White helped to f""Much of the beautification that's occurred in the city for the last 40 years is due to ... Sally White,"" said Mayor Tom Daly at the unveiling of a plaque in the garden. White, 85, has four children and six grandchildren with her husband of 56 years Joe. After the ceremony, White     a 45-year Anaheim resident     spoke to the Bulletin about her work in the community and importance of gettting- involved. How did you react when you heard about the dedication of garden? Alt was the most surprising and wonderful thing, the most gratifying thing that has ever happened to me . When I did all those things, I never had any thought of recognition. When I get involved in a project, I'm gung ho to get through it. It is something I will keep in my heart and the back of my mind forever. A For example, 10 years ago the city of Anaheim cut down all the trees on Broadway. I have never forgiven the city for that. I started Releaf Anaheim. We have planted at least 3,000 trees on city parkways. The hard part is finding these things and selling the ideas. The city is very cooperative. It has never given a fiat no to me I've ever asked for. What keeps community involvement going through out one years? A You have to keep after people. You have to persevere. You can't just start something and expect it to fall into place. I don't think there has ever been a project that has been an easy deal. But there is satisfaction when the project is completed. Getting the project done is the most important thing. Which of the many projects that you have been involved you consider your favorite? The Julianna Street Park is my baby. It's my first love. Releaf Anaheim is also very dear to me. When I stop and think about the project, they are all important. People do appreciate (the work you do) and people want to get involved. have you stayed in Anaheim all these years? AI loved Anaheim from the very beginning. After the children went to school, I became involved in organizations. I can't imagine leaving Anahem. It's home.",2000,17-Sep
"Guinn students get backpacks, supplies",Richard Manfredi,Anaheim Bulletin,english,"The two boys were comparing what was in their backpacks at Guinn Elementary School last Thursday. Their backpacks were filled with school supplies such as folders, writing tools and sheets of paper. ""I've got colored pencils and he didn't,"" said Ivan Anguiango, peering inside his bag. ""These are really cool."" ""Mine's green,"" said Ivan Jaimez. ""I like that color."" And so the two 9-year-olds discussed the state of their backpacks. Except it wasn't the first day of school. Classes had been taking place at this year-round school for several weeks, but this was the first day some students had the necessary equipment to learn. For the third year, Unity Community Church donated about 100 backpacks filled with school supplies to Guinn students whose families could not afford them. Most of the backpacks were handed out last Thursday, but some have been saved for students who are off-track. The main force behind the donations is Aleta Peters, Guinn's vice principal. She pitched the idea to the church membership, and said the congregation's response has been extremely positive ever since. ""Everyone at the church has 44 I can't imagine how a student could be expected to learn without the proper tools. CHUCK LEWIS Principal really backed this, and they're the ones that have made it successful,"" Peters said. So church members go shopping for backpacks and school supplies. Some buy their goods while shopping for their own children's school supplies, while others make special shopping trips. ""I think it gives some of the older members something to do,"" Peters said. At the start of the year, each teacher took an inventory of their students to see which ones didn't come to school with backpacks or the proper supplies. Most of the students without backpacks try to stuff all of their supplies into a folders and carry their books in their arms. ""It's hard to just have a folder, because it's hard to carry everything,"" Jaimez said. ""It's easier to have a backpack."" Guinn Principal Chuck Lewis watched everything transpire. He said he is amazed by the effort that Peters puts into organizing the backpack giveaway. ""It really is her baby,"" he said. ""I can't imagine how a student could be expected to learn without the proper tools."" Meanwhile, Anguiango and Jaimez were still reviewing the contents of their backpacks to find out whose was better, and if they might want to trade with someone else. ""What's this,"" said Anguiango, pulling out a small, white packet of silicate, used to keep backpacks dry in the stores. For students who buy new backpacks every year, this might be an expected find, but for students not used to new backpacks it was puzzling. ""You're not supposed to eat that,"" Jaimez said. ""I don't know why, but you're not."" After the children had gone to the library to write thank-you notes to the members of the church, Peters stood outside reflecting on the day. ""I just wish we could get more people and groups involved,"" she said. ""There are so many more students that need supplies. I'd just like to get the word out to people that their help is needed.""",2000,17-Sep
Limints,Amy Diaz,Anaheim Bulletin,english,"From page 1 1994 and, if elected, seek re-election in 1998, regardless of how long they had served on the council. The term-limit law states, in part: ""No person shall serve as Mayor or as a member of the City Council for a combined period of more than eight consecutive years. (Any person) shall again be eligible for election or appointment as Mayor or member of the City Council provided not less than two years has or will have elapsed."" The last clause of the term-limit law allows an exception to the eight-year limit for council members who were in office in 1992. ""Further, any member of the City Council, including the Mayor, in office on November 3,1992, and who would otherwise be ineligible to seek election to the office of Mayor in 1994 due to the operation of this section, shall be eligible for re-election to the office of Mayor in 1998, not withstanding any other provision of this section."" Daly, Ehrle, Pickler, Hunter and Bob Simpson were on the council at the time of the 1992 election. Ehrle lost his council re-election bid in 1992. Hunter and Pickler, who were ineligible to remain on the council, did not run for mayor in 1994. Simpson, who was eligible for a second council term, did not seek re-election or run for mayor. Before 1994, the mayor served two years and had to be a sitting City Council member. A 1991 charter amendment changed one of the five council seats to a four-year mayor's seat beginning with the 1994 election. That election was chosen because three council seats were on the 1994 ballot. The language of the term-limit law was discussed by council members for about six months / before the council voted on July 28,1992, to approve the final version that appeared on the ballot. Zemel, however, takes exception to Daly's re-election bid. Though he still believes the law was crafted for Daly's benefit, Zemel ""absolutely"" would have the same opposition to Hunter     a political ally at the time the law was written     or any of the other 1992 councilmen if they were in Daly'""(Daly) has every right to run but... I would argue that he is violating the spirit of the law,"" Zemel said. Daly said the clause was added with the consent of all but Pickler to put the members on a level playing field with respect to the newly established mayor's seat. Daly said he is a ""strong supporter of the (term-limit) measure"" who campaigned for the measure in 1992. ""If (Zemel) had opinions in 1992, he didn't express them during council meetings,"" Daly said. Zemel unsuccessfully ran for City Council in 1988 and 1992. He was a planning commissioner at the time the ballot measure was discussed. Daly defeated Hunter in the mayor's race in 1992, the same year he won re-election to the council. He was elected to the four-year mayor's seat in 1994.",2000,17-Sep
